run_id,date,symbol,timeframe,since,bars,method,is_primary,n_episodes,avg_bars,avg_width_pct,false_break_rate,coverage_pct,score,dur_median_bars,width_pct_median,escape_xatr_median,corr_contraction_vs_escape,params,out_dir,takeaway
001,2026-06-03,BTC/USDT,1h,2023-01-01,29994,range_containment,1,264,104.86,0.0561,0.1515,0.923,212.10,50.5,0.0483,2.222,-0.2375,"min_bars=8;box_width_pct=0.04;escape_k=1.5;atr_period=14",backtest/consolidation_out,"Loose: 92% coverage, not crisp boxes. Escape ~2.2x ATR usable; shape does not predict direction."
001,2026-06-03,BTC/USDT,1h,2023-01-01,29994,volatility_contraction,0,372,20.90,0.0201,0.5618,0.2592,159.79,,,,,"bandwidth_threshold=0.7;bb_period=20;escape_k=1.5",backtest/consolidation_out,"Tighter widths (2%) but 56% false-break."
001,2026-06-03,BTC/USDT,1h,2023-01-01,29994,regression_flatness,0,385,14.39,0.0105,0.5662,0.1847,165.27,,,,,"flatness_slope=0.0006;flatness_residual=0.02;escape_k=1.5",backtest/consolidation_out,"Tightest widths (1%) but 57% false-break."
002,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,570,70.4439,0.05,0.1667,0.8452,452.3697,34.0,0.0435,2.128,-0.2216,min_bars=8;box_width_pct=0.04;escape_k=1.5;atr_period=14,backtest/consolidation_out/run002_btcusdt_1h,
002,2026-06-03,BTC/USDT,1h,2021-01-01,47508,volatility_contraction,0,569,20.2214,0.0248,0.5694,0.2422,239.0731,,,,,bandwidth_threshold=0.7;escape_k=1.5,backtest/consolidation_out/run002_btcusdt_1h,
002,2026-06-03,BTC/USDT,1h,2021-01-01,47508,regression_flatness,0,488,14.0943,0.0112,0.5656,0.1448,209.6487,,,,,flatness_slope=0.0006;flatness_residual=0.02;escape_k=1.5,backtest/consolidation_out/run002_btcusdt_1h,
003,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,626,22.4169,0.0145,0.1661,0.2954,514.5533,15.0,0.0139,2.254,-0.0893,min_bars=8;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
004,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,281,29.1637,0.0144,0.1708,0.1725,229.6918,22.0,0.014,2.243,-0.0627,min_bars=12;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
005,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,151,34.8013,0.0141,0.1589,0.1106,125.2293,32.0,0.0142,2.398,-0.0767,min_bars=16;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
006,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,66,38.3182,0.0137,0.1212,0.0532,57.2171,33.0,0.014,2.537,-0.2069,min_bars=24;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
007,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,11,50.4545,0.0138,0.0,0.0117,10.8501,46.0,0.014,2.854,0.0205,min_bars=36;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
008,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,813,27.1181,0.0199,0.1255,0.4641,697.0987,16.0,0.0189,2.281,-0.1735,min_bars=8;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
009,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.1152,0.3111,353.9226,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
010,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,258,41.7287,0.0195,0.124,0.2266,221.6722,33.5,0.019,2.356,-0.1757,min_bars=16;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
011,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,135,46.1778,0.0184,0.1333,0.1312,114.8816,38.0,0.0184,2.481,-0.1824,min_bars=24;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
012,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,33,62.9697,0.0185,0.1515,0.0437,27.4901,47.0,0.0187,2.883,0.4344,min_bars=36;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
013,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,868,33.3329,0.0263,0.1302,0.609,735.6832,19.0,0.0243,2.216,-0.1887,min_bars=8;box_width_pct=0.025;escape_k=1.5;atr_period=14,(metrics-only),
014,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,536,39.7761,0.0257,0.1437,0.4488,447.5051,28.0,0.024,2.249,-0.1823,min_bars=12;box_width_pct=0.025;escape_k=1.5;atr_period=14,(metrics-only),
015,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,350,46.0143,0.025,0.1429,0.339,292.6729,35.0,0.024,2.243,-0.2384,min_bars=16;box_width_pct=0.025;escape_k=1.5;atr_period=14,(metrics-only),
016,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,188,53.2766,0.0238,0.1702,0.2108,152.3784,44.0,0.0234,2.369,-0.2092,min_bars=24;box_width_pct=0.025;escape_k=1.5;atr_period=14,(metrics-only),
017,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,78,62.3846,0.023,0.1795,0.1024,62.5611,46.5,0.0229,2.389,-0.1529,min_bars=36;box_width_pct=0.025;escape_k=1.5;atr_period=14,(metrics-only),
018,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,804,42.0361,0.033,0.143,0.7114,666.9578,21.0,0.0296,2.175,-0.208,min_bars=8;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
019,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,572,47.0839,0.0316,0.1538,0.5669,469.1743,31.0,0.0291,2.213,-0.2008,min_bars=12;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
020,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,395,54.5949,0.0315,0.1418,0.4539,328.6543,40.0,0.0293,2.229,-0.2289,min_bars=16;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
021,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,241,60.8755,0.0297,0.1577,0.3088,197.1399,46.0,0.0287,2.202,-0.338,min_bars=24;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
022,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,109,73.1468,0.0285,0.1284,0.1678,92.3646,54.0,0.0284,2.332,-0.3124,min_bars=36;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
